Service,Function,Avg Latency (ms),P95 Latency (ms),CPU Usage (%),Memory Usage (%),Security Score,Cost,Composite Score
FaaSLight Original,compute,1201.3318878985476,1908.6141257911145,7.854054054054055,65.07162162162162,0.72,87.60793963573666,0.2251721192229494
FaaSLight Original,io,1031.7079841797458,2022.6542711257925,7.493548387096775,65.22096774193548,0.72,75.02014685608948,0.23007734673226846
FaaSLight Original,memory,1887.317357873363,2873.2575774192806,7.8796875,65.2375,0.72,137.9953371276313,0.1469816619869095
FaaSLight Enhanced,compute,754.0347902464435,1326.1268138885493,11.975362318840581,64.52463768115945,0.89,46.14692916308237,0.41856578481559237
FaaSLight Enhanced,io,699.3072084888013,1281.2859676988078,15.175,64.43833333333333,0.89,44.53934231345741,0.4394774128948102
FaaSLight Enhanced,memory,1134.4013804919398,1836.5379067596496,12.274647887323942,64.57605633802818,0.89,69.74363597201376,0.29269740465291916
SAND++,compute,1382.8348785078338,2483.771688146323,8.8640625,64.7765625,0.82,101.83282472511596,0.20663034486082962
SAND++,io,1081.5898683992702,2133.4008409225366,8.529850746268659,64.81044776119404,0.82,79.32412381104977,0.24891367144171495
SAND++,memory,2019.0559473915655,3302.755832672119,9.18695652173913,64.72608695652175,0.82,149.23457002459403,0.1498799219616863
AWS Fargate,compute,959.415369014612,1758.6330771446228,11.128787878787879,64.62121212121211,0.78,72.67571420285685,0.2794973473475774
AWS Fargate,io,709.8125571293003,1490.1668667793274,11.062857142857142,64.62285714285713,0.78,53.72267039530046,0.34609720688967477
AWS Fargate,memory,1502.7504170943778,2225.3016352653503,9.4921875,64.6171875,0.78,111.36789419185367,0.2031556878013737
Unikernel,compute,2308.1226771977167,4783.641576766968,13.533333333333333,68.09393939393941,0.65,188.4057592596209,0.08928362920361559
Unikernel,io,1735.6366383145303,3166.464352607727,14.562903225806453,68.2709677419355,0.65,143.7695013450312,0.12881820906741742
Unikernel,memory,2721.7699495814722,4146.680593490601,15.444117647058825,68.49411764705883,0.65,228.46056644442834,0.09158914208864641
